in:Index,out:EveningMaxSunhoursLoss,out:EveningTotalSunhoursLoss,out:MaxSunhoursLoss,out:TotalSunhoursLoss,out:Volume,img_1,img_2
0,11,7974,18,17936,"594,333",{0;0}_SiteColibriView.png,{0;0}_SiteColibriView2.png
1,9,5471,16,14171,"690,000",{0;1}_SiteColibriView.png,{0;1}_SiteColibriView2.png
2,11,7372,16,19026,"615,667",{0;2}_SiteColibriView.png,{0;2}_SiteColibriView2.png
3,10,7209,15,17008,"604,667",{0;3}_SiteColibriView.png,{0;3}_SiteColibriView2.png
4,11,6237,16,14878,"663,333",{0;4}_SiteColibriView.png,{0;4}_SiteColibriView2.png
5,11,5956,14,14416,"676,333",{0;5}_SiteColibriView.png,{0;5}_SiteColibriView2.png
6,11,6612,15,17209,"632,667",{0;6}_SiteColibriView.png,{0;6}_SiteColibriView2.png
7,11,7189,16,16705,"579,333",{0;7}_SiteColibriView.png,{0;7}_SiteColibriView2.png
8,11,6518,18,16318,"594,333",{0;8}_SiteColibriView.png,{0;8}_SiteColibriView2.png
9,11,8665,18,21254,"574,333",{0;9}_SiteColibriView.png,{0;9}_SiteColibriView2.png
10,11,6415,16,15376,"610,333",{0;10}_SiteColibriView.png,{0;10}_SiteColibriView2.png
11,11,7248,16,17818,"594,333",{0;11}_SiteColibriView.png,{0;11}_SiteColibriView2.png
12,12,7166,16,18551,"621,333",{0;12}_SiteColibriView.png,{0;12}_SiteColibriView2.png
13,12,7335,18,18088,"510,333",{0;13}_SiteColibriView.png,{0;13}_SiteColibriView2.png
14,11,5274,16,13128,"610,333",{0;14}_SiteColibriView.png,{0;14}_SiteColibriView2.png
15,11,5976,16,15315,"621,333",{0;15}_SiteColibriView.png,{0;15}_SiteColibriView2.png
16,11,7743,20,19229,"579,333",{0;16}_SiteColibriView.png,{0;16}_SiteColibriView2.png
17,11,7178,18,18346,"547,000",{0;17}_SiteColibriView.png,{0;17}_SiteColibriView2.png
18,12,6465,15,16028,"663,333",{0;18}_SiteColibriView.png,{0;18}_SiteColibriView2.png
19,11,5967,14,14044,"632,667",{0;19}_SiteColibriView.png,{0;19}_SiteColibriView2.png
20,10,6774,16,15836,"610,333",{0;20}_SiteColibriView.png,{0;20}_SiteColibriView2.png
21,12,6382,16,15138,"638,667",{0;21}_SiteColibriView.png,{0;21}_SiteColibriView2.png
22,9,6838,20,18922,"594,333",{0;22}_SiteColibriView.png,{0;22}_SiteColibriView2.png
23,9,6957,18,15886,"627,000",{0;23}_SiteColibriView.png,{0;23}_SiteColibriView2.png
24,11,7032,18,17078,"565,000",{0;24}_SiteColibriView.png,{0;24}_SiteColibriView2.png
25,11,8285,18,20816,"551,333",{0;25}_SiteColibriView.png,{0;25}_SiteColibriView2.png
26,11,7467,18,16942,"657,000",{0;26}_SiteColibriView.png,{0;26}_SiteColibriView2.png
27,9,7412,17,17654,"632,667",{0;27}_SiteColibriView.png,{0;27}_SiteColibriView2.png
28,11,7543,17,18634,"599,667",{0;28}_SiteColibriView.png,{0;28}_SiteColibriView2.png
29,11,6209,17,16373,"594,333",{0;29}_SiteColibriView.png,{0;29}_SiteColibriView2.png
30,12,7430,16,18865,"610,333",{0;30}_SiteColibriView.png,{0;30}_SiteColibriView2.png
31,11,7294,17,19516,"574,333",{0;31}_SiteColibriView.png,{0;31}_SiteColibriView2.png
32,11,6690,16,15584,"579,333",{0;32}_SiteColibriView.png,{0;32}_SiteColibriView2.png
33,11,4345,15,10128,"750,333",{0;33}_SiteColibriView.png,{0;33}_SiteColibriView2.png
34,11,6551,16,15422,"569,667",{0;34}_SiteColibriView.png,{0;34}_SiteColibriView2.png
35,11,5886,16,14538,"604,667",{0;35}_SiteColibriView.png,{0;35}_SiteColibriView2.png
36,11,7674,19,18136,"560,333",{0;36}_SiteColibriView.png,{0;36}_SiteColibriView2.png
37,11,8603,15,20181,"599,667",{0;37}_SiteColibriView.png,{0;37}_SiteColibriView2.png
38,11,7078,18,18489,"526,000",{0;38}_SiteColibriView.png,{0;38}_SiteColibriView2.png
39,11,8263,18,19641,"560,333",{0;39}_SiteColibriView.png,{0;39}_SiteColibriView2.png
40,11,5166,15,13198,"650,667",{0;40}_SiteColibriView.png,{0;40}_SiteColibriView2.png
41,12,6388,16,15434,"621,333",{0;41}_SiteColibriView.png,{0;41}_SiteColibriView2.png
42,11,6397,16,15070,"676,333",{0;42}_SiteColibriView.png,{0;42}_SiteColibriView2.png
43,11,6718,15,16800,"627,000",{0;43}_SiteColibriView.png,{0;43}_SiteColibriView2.png
44,12,7503,16,17314,"579,333",{0;44}_SiteColibriView.png,{0;44}_SiteColibriView2.png
45,11,7995,18,19566,"579,333",{0;45}_SiteColibriView.png,{0;45}_SiteColibriView2.png
46,9,6014,18,15158,"638,667",{0;46}_SiteColibriView.png,{0;46}_SiteColibriView2.png
47,11,7531,17,18294,"560,333",{0;47}_SiteColibriView.png,{0;47}_SiteColibriView2.png
48,11,7587,16,18303,"579,333",{0;48}_SiteColibriView.png,{0;48}_SiteColibriView2.png
49,11,7867,19,19133,"538,333",{0;49}_SiteColibriView.png,{0;49}_SiteColibriView2.png
50,10,7209,15,17008,"604,667",{1;0}_SiteColibriView.png,{1;0}_SiteColibriView2.png
51,12,7335,18,18088,"510,333",{1;1}_SiteColibriView.png,{1;1}_SiteColibriView2.png
52,11,5274,16,13128,"610,333",{1;2}_SiteColibriView.png,{1;2}_SiteColibriView2.png
53,11,5967,14,14044,"632,667",{1;3}_SiteColibriView.png,{1;3}_SiteColibriView2.png
54,9,6838,20,18922,"594,333",{1;4}_SiteColibriView.png,{1;4}_SiteColibriView2.png
55,11,4345,15,10128,"750,333",{1;5}_SiteColibriView.png,{1;5}_SiteColibriView2.png
56,11,6551,16,15422,"569,667",{1;6}_SiteColibriView.png,{1;6}_SiteColibriView2.png
57,11,7078,18,18489,"526,000",{1;7}_SiteColibriView.png,{1;7}_SiteColibriView2.png
58,11,5166,15,13198,"650,667",{1;8}_SiteColibriView.png,{1;8}_SiteColibriView2.png
59,9,7033,15,17481,"599,667",{1;9}_SiteColibriView.png,{1;9}_SiteColibriView2.png
60,11,6595,15,16395,"584,333",{1;10}_SiteColibriView.png,{1;10}_SiteColibriView2.png
61,11,6147,16,15482,"589,333",{1;11}_SiteColibriView.png,{1;11}_SiteColibriView2.png
62,12,7261,18,18097,"518,000",{1;12}_SiteColibriView.png,{1;12}_SiteColibriView2.png
63,9,5850,15,13013,"615,667",{1;13}_SiteColibriView.png,{1;13}_SiteColibriView2.png
64,8,6504,14,16491,"650,667",{1;14}_SiteColibriView.png,{1;14}_SiteColibriView2.png
65,10,5089,14,12773,"657,000",{1;15}_SiteColibriView.png,{1;15}_SiteColibriView2.png
66,10,6725,16,15011,"579,333",{1;16}_SiteColibriView.png,{1;16}_SiteColibriView2.png
67,11,6997,16,18078,"538,333",{1;17}_SiteColibriView.png,{1;17}_SiteColibriView2.png
68,12,7556,18,19200,"503,000",{1;18}_SiteColibriView.png,{1;18}_SiteColibriView2.png
69,11,7019,18,17040,"547,000",{1;19}_SiteColibriView.png,{1;19}_SiteColibriView2.png
70,9,4938,16,11926,"627,000",{1;20}_SiteColibriView.png,{1;20}_SiteColibriView2.png
71,9,6838,20,18922,"594,333",{1;21}_SiteColibriView.png,{1;21}_SiteColibriView2.png
72,9,7993,20,20439,"560,333",{1;22}_SiteColibriView.png,{1;22}_SiteColibriView2.png
73,11,5665,16,14045,"594,333",{1;23}_SiteColibriView.png,{1;23}_SiteColibriView2.png
74,11,6690,16,15584,"579,333",{1;24}_SiteColibriView.png,{1;24}_SiteColibriView2.png
75,11,6568,16,15957,"584,333",{1;25}_SiteColibriView.png,{1;25}_SiteColibriView2.png
76,11,8253,20,21532,"526,000",{1;26}_SiteColibriView.png,{1;26}_SiteColibriView2.png
77,11,8603,15,20181,"599,667",{1;27}_SiteColibriView.png,{1;27}_SiteColibriView2.png
78,11,5914,15,14286,"627,000",{1;28}_SiteColibriView.png,{1;28}_SiteColibriView2.png
79,11,5956,14,14416,"676,333",{1;29}_SiteColibriView.png,{1;29}_SiteColibriView2.png
80,10,6774,16,15836,"610,333",{1;30}_SiteColibriView.png,{1;30}_SiteColibriView2.png
81,11,7294,17,19516,"574,333",{1;31}_SiteColibriView.png,{1;31}_SiteColibriView2.png
82,11,7531,17,18294,"560,333",{1;32}_SiteColibriView.png,{1;32}_SiteColibriView2.png
83,11,7867,19,19133,"538,333",{1;33}_SiteColibriView.png,{1;33}_SiteColibriView2.png
84,11,7294,17,19516,"574,333",{1;34}_SiteColibriView.png,{1;34}_SiteColibriView2.png
85,11,8410,17,19514,"555,667",{1;35}_SiteColibriView.png,{1;35}_SiteColibriView2.png
86,11,8085,16,19527,"538,333",{1;36}_SiteColibriView.png,{1;36}_SiteColibriView2.png
87,11,7178,18,18346,"547,000",{1;37}_SiteColibriView.png,{1;37}_SiteColibriView2.png
88,11,7032,18,17078,"565,000",{1;38}_SiteColibriView.png,{1;38}_SiteColibriView2.png
89,11,7584,18,17062,"560,333",{1;39}_SiteColibriView.png,{1;39}_SiteColibriView2.png
90,9,5471,16,14171,"690,000",{1;40}_SiteColibriView.png,{1;40}_SiteColibriView2.png
91,9,6957,18,15886,"627,000",{1;41}_SiteColibriView.png,{1;41}_SiteColibriView2.png
92,9,7412,17,17654,"632,667",{1;42}_SiteColibriView.png,{1;42}_SiteColibriView2.png
93,9,6014,18,15158,"638,667",{1;43}_SiteColibriView.png,{1;43}_SiteColibriView2.png
94,9,5602,20,14096,"627,000",{1;44}_SiteColibriView.png,{1;44}_SiteColibriView2.png
95,11,6518,18,16318,"594,333",{1;45}_SiteColibriView.png,{1;45}_SiteColibriView2.png
96,11,6209,17,16373,"594,333",{1;46}_SiteColibriView.png,{1;46}_SiteColibriView2.png
97,11,5886,16,14538,"604,667",{1;47}_SiteColibriView.png,{1;47}_SiteColibriView2.png
98,11,6226,16,14886,"599,667",{1;48}_SiteColibriView.png,{1;48}_SiteColibriView2.png
99,11,5872,16,14128,"627,000",{1;49}_SiteColibriView.png,{1;49}_SiteColibriView2.png
100,12,7335,18,18088,"510,333",{2;0}_SiteColibriView.png,{2;0}_SiteColibriView2.png
101,11,5274,16,13128,"610,333",{2;1}_SiteColibriView.png,{2;1}_SiteColibriView2.png
102,11,4345,15,10128,"750,333",{2;2}_SiteColibriView.png,{2;2}_SiteColibriView2.png
103,11,6551,16,15422,"569,667",{2;3}_SiteColibriView.png,{2;3}_SiteColibriView2.png
104,11,5166,15,13198,"650,667",{2;4}_SiteColibriView.png,{2;4}_SiteColibriView2.png
105,11,6595,15,16395,"584,333",{2;5}_SiteColibriView.png,{2;5}_SiteColibriView2.png
106,11,6147,16,15482,"589,333",{2;6}_SiteColibriView.png,{2;6}_SiteColibriView2.png
107,9,5850,15,13013,"615,667",{2;7}_SiteColibriView.png,{2;7}_SiteColibriView2.png
108,8,6504,14,16491,"650,667",{2;8}_SiteColibriView.png,{2;8}_SiteColibriView2.png
109,10,5089,14,12773,"657,000",{2;9}_SiteColibriView.png,{2;9}_SiteColibriView2.png
110,10,6725,16,15011,"579,333",{2;10}_SiteColibriView.png,{2;10}_SiteColibriView2.png
111,11,6997,16,18078,"538,333",{2;11}_SiteColibriView.png,{2;11}_SiteColibriView2.png
112,12,7556,18,19200,"503,000",{2;12}_SiteColibriView.png,{2;12}_SiteColibriView2.png
113,9,4938,16,11926,"627,000",{2;13}_SiteColibriView.png,{2;13}_SiteColibriView2.png
114,11,5665,16,14045,"594,333",{2;14}_SiteColibriView.png,{2;14}_SiteColibriView2.png
115,9,6545,16,17055,"599,667",{2;15}_SiteColibriView.png,{2;15}_SiteColibriView2.png
116,11,6551,16,15422,"569,667",{2;16}_SiteColibriView.png,{2;16}_SiteColibriView2.png
117,9,6132,18,16175,"594,333",{2;17}_SiteColibriView.png,{2;17}_SiteColibriView2.png
118,11,4919,16,12489,"621,333",{2;18}_SiteColibriView.png,{2;18}_SiteColibriView2.png
119,9,5750,17,14950,"621,333",{2;19}_SiteColibriView.png,{2;19}_SiteColibriView2.png
120,8,6697,15,16009,"551,333",{2;20}_SiteColibriView.png,{2;20}_SiteColibriView2.png
121,11,6521,18,16434,"542,667",{2;21}_SiteColibriView.png,{2;21}_SiteColibriView2.png
122,9,5929,14,13266,"632,667",{2;22}_SiteColibriView.png,{2;22}_SiteColibriView2.png
123,11,6935,17,16650,"534,333",{2;23}_SiteColibriView.png,{2;23}_SiteColibriView2.png
124,10,6685,20,16412,"574,333",{2;24}_SiteColibriView.png,{2;24}_SiteColibriView2.png
125,11,6392,20,16890,"551,333",{2;25}_SiteColibriView.png,{2;25}_SiteColibriView2.png
126,11,7070,18,17837,"514,000",{2;26}_SiteColibriView.png,{2;26}_SiteColibriView2.png
127,12,7347,18,18199,"506,667",{2;27}_SiteColibriView.png,{2;27}_SiteColibriView2.png
128,9,8068,16,19207,"542,667",{2;28}_SiteColibriView.png,{2;28}_SiteColibriView2.png
129,11,6195,18,15130,"589,333",{2;29}_SiteColibriView.png,{2;29}_SiteColibriView2.png
130,11,4797,15,10773,"683,000",{2;30}_SiteColibriView.png,{2;30}_SiteColibriView2.png
131,9,5471,16,14171,"690,000",{2;31}_SiteColibriView.png,{2;31}_SiteColibriView2.png
132,11,5956,14,14416,"676,333",{2;32}_SiteColibriView.png,{2;32}_SiteColibriView2.png
133,9,5401,18,13845,"683,000",{2;33}_SiteColibriView.png,{2;33}_SiteColibriView2.png
134,9,7993,20,20439,"560,333",{2;34}_SiteColibriView.png,{2;34}_SiteColibriView2.png
135,9,7514,18,18666,"589,333",{2;35}_SiteColibriView.png,{2;35}_SiteColibriView2.png
136,11,8085,16,19527,"538,333",{2;36}_SiteColibriView.png,{2;36}_SiteColibriView2.png
137,9,6838,20,18922,"594,333",{2;37}_SiteColibriView.png,{2;37}_SiteColibriView2.png
138,12,7261,18,18097,"518,000",{2;38}_SiteColibriView.png,{2;38}_SiteColibriView2.png
139,11,7531,17,18294,"560,333",{2;39}_SiteColibriView.png,{2;39}_SiteColibriView2.png
140,9,5602,20,14096,"627,000",{2;40}_SiteColibriView.png,{2;40}_SiteColibriView2.png
141,12,7249,18,17986,"522,000",{2;41}_SiteColibriView.png,{2;41}_SiteColibriView2.png
142,10,6452,18,15424,"615,667",{2;42}_SiteColibriView.png,{2;42}_SiteColibriView2.png
143,11,6568,16,15957,"584,333",{2;43}_SiteColibriView.png,{2;43}_SiteColibriView2.png
144,10,7209,15,17008,"604,667",{2;44}_SiteColibriView.png,{2;44}_SiteColibriView2.png
145,11,6209,17,16373,"594,333",{2;45}_SiteColibriView.png,{2;45}_SiteColibriView2.png
146,9,6957,18,15886,"627,000",{2;46}_SiteColibriView.png,{2;46}_SiteColibriView2.png
147,11,7078,18,18489,"526,000",{2;47}_SiteColibriView.png,{2;47}_SiteColibriView2.png
148,11,6258,15,15559,"615,667",{2;48}_SiteColibriView.png,{2;48}_SiteColibriView2.png
149,9,6014,18,15158,"638,667",{2;49}_SiteColibriView.png,{2;49}_SiteColibriView2.png
150,12,7335,18,18088,"510,333",{3;0}_SiteColibriView.png,{3;0}_SiteColibriView2.png
151,11,5274,16,13128,"610,333",{3;1}_SiteColibriView.png,{3;1}_SiteColibriView2.png
152,11,4345,15,10128,"750,333",{3;2}_SiteColibriView.png,{3;2}_SiteColibriView2.png
153,11,5166,15,13198,"650,667",{3;3}_SiteColibriView.png,{3;3}_SiteColibriView2.png
154,9,5850,15,13013,"615,667",{3;4}_SiteColibriView.png,{3;4}_SiteColibriView2.png
155,8,6504,14,16491,"650,667",{3;5}_SiteColibriView.png,{3;5}_SiteColibriView2.png
156,10,5089,14,12773,"657,000",{3;6}_SiteColibriView.png,{3;6}_SiteColibriView2.png
157,11,6997,16,18078,"538,333",{3;7}_SiteColibriView.png,{3;7}_SiteColibriView2.png
158,12,7556,18,19200,"503,000",{3;8}_SiteColibriView.png,{3;8}_SiteColibriView2.png
159,9,4938,16,11926,"627,000",{3;9}_SiteColibriView.png,{3;9}_SiteColibriView2.png
160,11,5665,16,14045,"594,333",{3;10}_SiteColibriView.png,{3;10}_SiteColibriView2.png
161,11,4919,16,12489,"621,333",{3;11}_SiteColibriView.png,{3;11}_SiteColibriView2.png
162,8,6697,15,16009,"551,333",{3;12}_SiteColibriView.png,{3;12}_SiteColibriView2.png
163,11,6521,18,16434,"542,667",{3;13}_SiteColibriView.png,{3;13}_SiteColibriView2.png
164,9,5929,14,13266,"632,667",{3;14}_SiteColibriView.png,{3;14}_SiteColibriView2.png
165,11,6935,17,16650,"534,333",{3;15}_SiteColibriView.png,{3;15}_SiteColibriView2.png
166,11,6392,20,16890,"551,333",{3;16}_SiteColibriView.png,{3;16}_SiteColibriView2.png
167,11,7070,18,17837,"514,000",{3;17}_SiteColibriView.png,{3;17}_SiteColibriView2.png
168,12,7347,18,18199,"506,667",{3;18}_SiteColibriView.png,{3;18}_SiteColibriView2.png
169,9,8068,16,19207,"542,667",{3;19}_SiteColibriView.png,{3;19}_SiteColibriView2.png
170,11,4797,15,10773,"683,000",{3;20}_SiteColibriView.png,{3;20}_SiteColibriView2.png
171,11,5154,18,13210,"594,333",{3;21}_SiteColibriView.png,{3;21}_SiteColibriView2.png
172,11,6997,16,18078,"538,333",{3;22}_SiteColibriView.png,{3;22}_SiteColibriView2.png
173,11,8404,17,20697,"526,000",{3;23}_SiteColibriView.png,{3;23}_SiteColibriView2.png
174,10,5087,14,12731,"663,333",{3;24}_SiteColibriView.png,{3;24}_SiteColibriView2.png
175,11,6997,16,18078,"538,333",{3;25}_SiteColibriView.png,{3;25}_SiteColibriView2.png
176,9,4934,14,10627,"676,333",{3;26}_SiteColibriView.png,{3;26}_SiteColibriView2.png
177,12,7335,18,18088,"510,333",{3;27}_SiteColibriView.png,{3;27}_SiteColibriView2.png
178,12,7347,18,18199,"506,667",{3;28}_SiteColibriView.png,{3;28}_SiteColibriView2.png
179,8,5604,15,14093,"565,000",{3;29}_SiteColibriView.png,{3;29}_SiteColibriView2.png
180,9,7853,18,20871,"522,000",{3;30}_SiteColibriView.png,{3;30}_SiteColibriView2.png
181,11,6997,16,18078,"538,333",{3;31}_SiteColibriView.png,{3;31}_SiteColibriView2.png
182,11,6521,18,16434,"542,667",{3;32}_SiteColibriView.png,{3;32}_SiteColibriView2.png
183,8,6504,14,16491,"650,667",{3;33}_SiteColibriView.png,{3;33}_SiteColibriView2.png
184,11,5023,16,12378,"615,667",{3;34}_SiteColibriView.png,{3;34}_SiteColibriView2.png
185,9,5221,16,12747,"621,333",{3;35}_SiteColibriView.png,{3;35}_SiteColibriView2.png
186,11,4904,16,11738,"638,667",{3;36}_SiteColibriView.png,{3;36}_SiteColibriView2.png
187,11,5455,15,13611,"621,333",{3;37}_SiteColibriView.png,{3;37}_SiteColibriView2.png
188,9,4886,18,12141,"704,333",{3;38}_SiteColibriView.png,{3;38}_SiteColibriView2.png
189,9,6296,20,14950,"584,333",{3;39}_SiteColibriView.png,{3;39}_SiteColibriView2.png
190,11,5977,15,13837,"704,333",{3;40}_SiteColibriView.png,{3;40}_SiteColibriView2.png
191,11,5917,14,14377,"683,000",{3;41}_SiteColibriView.png,{3;41}_SiteColibriView2.png
192,9,5297,16,13800,"627,000",{3;42}_SiteColibriView.png,{3;42}_SiteColibriView2.png
193,11,8085,16,19527,"538,333",{3;43}_SiteColibriView.png,{3;43}_SiteColibriView2.png
194,8,6076,16,15903,"615,667",{3;44}_SiteColibriView.png,{3;44}_SiteColibriView2.png
195,9,5575,16,12579,"644,667",{3;45}_SiteColibriView.png,{3;45}_SiteColibriView2.png
196,12,7261,18,18097,"518,000",{3;46}_SiteColibriView.png,{3;46}_SiteColibriView2.png
197,9,7993,20,20439,"560,333",{3;47}_SiteColibriView.png,{3;47}_SiteColibriView2.png
198,12,7249,18,17986,"522,000",{3;48}_SiteColibriView.png,{3;48}_SiteColibriView2.png
199,9,7471,18,19595,"569,667",{3;49}_SiteColibriView.png,{3;49}_SiteColibriView2.png
200,12,7335,18,18088,"510,333",{4;0}_SiteColibriView.png,{4;0}_SiteColibriView2.png
201,11,4345,15,10128,"750,333",{4;1}_SiteColibriView.png,{4;1}_SiteColibriView2.png
202,9,5850,15,13013,"615,667",{4;2}_SiteColibriView.png,{4;2}_SiteColibriView2.png
203,8,6504,14,16491,"650,667",{4;3}_SiteColibriView.png,{4;3}_SiteColibriView2.png
204,10,5089,14,12773,"657,000",{4;4}_SiteColibriView.png,{4;4}_SiteColibriView2.png
205,12,7556,18,19200,"503,000",{4;5}_SiteColibriView.png,{4;5}_SiteColibriView2.png
206,9,4938,16,11926,"627,000",{4;6}_SiteColibriView.png,{4;6}_SiteColibriView2.png
207,11,4919,16,12489,"621,333",{4;7}_SiteColibriView.png,{4;7}_SiteColibriView2.png
208,8,6697,15,16009,"551,333",{4;8}_SiteColibriView.png,{4;8}_SiteColibriView2.png
209,11,7070,18,17837,"514,000",{4;9}_SiteColibriView.png,{4;9}_SiteColibriView2.png
210,12,7347,18,18199,"506,667",{4;10}_SiteColibriView.png,{4;10}_SiteColibriView2.png
211,9,8068,16,19207,"542,667",{4;11}_SiteColibriView.png,{4;11}_SiteColibriView2.png
212,11,4797,15,10773,"683,000",{4;12}_SiteColibriView.png,{4;12}_SiteColibriView2.png
213,11,8404,17,20697,"526,000",{4;13}_SiteColibriView.png,{4;13}_SiteColibriView2.png
214,10,5087,14,12731,"663,333",{4;14}_SiteColibriView.png,{4;14}_SiteColibriView2.png
215,9,4934,14,10627,"676,333",{4;15}_SiteColibriView.png,{4;15}_SiteColibriView2.png
216,12,7335,18,18088,"510,333",{4;16}_SiteColibriView.png,{4;16}_SiteColibriView2.png
217,12,7347,18,18199,"506,667",{4;17}_SiteColibriView.png,{4;17}_SiteColibriView2.png
218,8,5604,15,14093,"565,000",{4;18}_SiteColibriView.png,{4;18}_SiteColibriView2.png
219,9,7853,18,20871,"522,000",{4;19}_SiteColibriView.png,{4;19}_SiteColibriView2.png
220,8,6504,14,16491,"650,667",{4;20}_SiteColibriView.png,{4;20}_SiteColibriView2.png
221,11,5023,16,12378,"615,667",{4;21}_SiteColibriView.png,{4;21}_SiteColibriView2.png
222,9,5221,16,12747,"621,333",{4;22}_SiteColibriView.png,{4;22}_SiteColibriView2.png
223,11,5455,15,13611,"621,333",{4;23}_SiteColibriView.png,{4;23}_SiteColibriView2.png
224,9,4886,18,12141,"704,333",{4;24}_SiteColibriView.png,{4;24}_SiteColibriView2.png
225,7,5911,15,15781,"584,333",{4;25}_SiteColibriView.png,{4;25}_SiteColibriView2.png
226,11,6896,16,17085,"530,000",{4;26}_SiteColibriView.png,{4;26}_SiteColibriView2.png
227,8,7261,16,19121,"547,000",{4;27}_SiteColibriView.png,{4;27}_SiteColibriView2.png
228,11,5048,16,12783,"589,333",{4;28}_SiteColibriView.png,{4;28}_SiteColibriView2.png
229,11,6434,17,15203,"560,333",{4;29}_SiteColibriView.png,{4;29}_SiteColibriView2.png
230,9,5863,18,14860,"560,333",{4;30}_SiteColibriView.png,{4;30}_SiteColibriView2.png
231,10,6699,16,16572,"538,333",{4;31}_SiteColibriView.png,{4;31}_SiteColibriView2.png
232,9,6224,17,15512,"530,000",{4;32}_SiteColibriView.png,{4;32}_SiteColibriView2.png
233,12,6924,20,17096,"506,667",{4;33}_SiteColibriView.png,{4;33}_SiteColibriView2.png
234,11,4719,14,11315,"638,667",{4;34}_SiteColibriView.png,{4;34}_SiteColibriView2.png
235,9,5769,14,12305,"627,000",{4;35}_SiteColibriView.png,{4;35}_SiteColibriView2.png
236,11,4577,15,10872,"697,000",{4;36}_SiteColibriView.png,{4;36}_SiteColibriView2.png
237,11,7675,17,19828,"530,000",{4;37}_SiteColibriView.png,{4;37}_SiteColibriView2.png
238,8,7412,16,17422,"594,333",{4;38}_SiteColibriView.png,{4;38}_SiteColibriView2.png
239,9,7499,20,18361,"530,000",{4;39}_SiteColibriView.png,{4;39}_SiteColibriView2.png
240,11,4904,16,11738,"638,667",{4;40}_SiteColibriView.png,{4;40}_SiteColibriView2.png
241,11,5499,14,13542,"650,667",{4;41}_SiteColibriView.png,{4;41}_SiteColibriView2.png
242,9,7870,16,17488,"555,667",{4;42}_SiteColibriView.png,{4;42}_SiteColibriView2.png
243,12,7382,18,18307,"514,000",{4;43}_SiteColibriView.png,{4;43}_SiteColibriView2.png
244,11,5125,16,11726,"663,333",{4;44}_SiteColibriView.png,{4;44}_SiteColibriView2.png
245,12,7261,18,18097,"518,000",{4;45}_SiteColibriView.png,{4;45}_SiteColibriView2.png
246,10,6760,18,16463,"534,333",{4;46}_SiteColibriView.png,{4;46}_SiteColibriView2.png
247,9,6296,20,14950,"584,333",{4;47}_SiteColibriView.png,{4;47}_SiteColibriView2.png
248,9,5297,16,13800,"627,000",{4;48}_SiteColibriView.png,{4;48}_SiteColibriView2.png
249,9,5929,14,13266,"632,667",{4;49}_SiteColibriView.png,{4;49}_SiteColibriView2.png
250,11,4345,15,10128,"750,333",{5;0}_SiteColibriView.png,{5;0}_SiteColibriView2.png
251,8,6504,14,16491,"650,667",{5;1}_SiteColibriView.png,{5;1}_SiteColibriView2.png
252,9,4938,16,11926,"627,000",{5;2}_SiteColibriView.png,{5;2}_SiteColibriView2.png
253,11,4919,16,12489,"621,333",{5;3}_SiteColibriView.png,{5;3}_SiteColibriView2.png
254,8,6697,15,16009,"551,333",{5;4}_SiteColibriView.png,{5;4}_SiteColibriView2.png
255,9,8068,16,19207,"542,667",{5;5}_SiteColibriView.png,{5;5}_SiteColibriView2.png
256,11,4797,15,10773,"683,000",{5;6}_SiteColibriView.png,{5;6}_SiteColibriView2.png
257,11,8404,17,20697,"526,000",{5;7}_SiteColibriView.png,{5;7}_SiteColibriView2.png
258,9,4934,14,10627,"676,333",{5;8}_SiteColibriView.png,{5;8}_SiteColibriView2.png
259,8,5604,15,14093,"565,000",{5;9}_SiteColibriView.png,{5;9}_SiteColibriView2.png
260,9,7853,18,20871,"522,000",{5;10}_SiteColibriView.png,{5;10}_SiteColibriView2.png
261,8,6504,14,16491,"650,667",{5;11}_SiteColibriView.png,{5;11}_SiteColibriView2.png
262,9,4886,18,12141,"704,333",{5;12}_SiteColibriView.png,{5;12}_SiteColibriView2.png
263,7,5911,15,15781,"584,333",{5;13}_SiteColibriView.png,{5;13}_SiteColibriView2.png
264,11,6896,16,17085,"530,000",{5;14}_SiteColibriView.png,{5;14}_SiteColibriView2.png
265,8,7261,16,19121,"547,000",{5;15}_SiteColibriView.png,{5;15}_SiteColibriView2.png
266,11,5048,16,12783,"589,333",{5;16}_SiteColibriView.png,{5;16}_SiteColibriView2.png
267,11,6434,17,15203,"560,333",{5;17}_SiteColibriView.png,{5;17}_SiteColibriView2.png
268,9,5863,18,14860,"560,333",{5;18}_SiteColibriView.png,{5;18}_SiteColibriView2.png
269,10,6699,16,16572,"538,333",{5;19}_SiteColibriView.png,{5;19}_SiteColibriView2.png
270,9,6224,17,15512,"530,000",{5;20}_SiteColibriView.png,{5;20}_SiteColibriView2.png
271,12,6924,20,17096,"506,667",{5;21}_SiteColibriView.png,{5;21}_SiteColibriView2.png
272,11,4719,14,11315,"638,667",{5;22}_SiteColibriView.png,{5;22}_SiteColibriView2.png
273,11,4577,15,10872,"697,000",{5;23}_SiteColibriView.png,{5;23}_SiteColibriView2.png
274,9,4918,14,11780,"669,667",{5;24}_SiteColibriView.png,{5;24}_SiteColibriView2.png
275,11,4577,15,10872,"697,000",{5;25}_SiteColibriView.png,{5;25}_SiteColibriView2.png
276,9,5997,14,14831,"604,667",{5;26}_SiteColibriView.png,{5;26}_SiteColibriView2.png
277,11,4677,15,10505,"742,333",{5;27}_SiteColibriView.png,{5;27}_SiteColibriView2.png
