in:Index,out:EveningMaxSunhoursLoss,out:EveningTotalSunhoursLoss,out:MaxSunhoursLoss,out:TotalSunhoursLoss,out:Volume,img_1,img_2
4283,6,4079,10,10302,"579,333",{85;33}_SiteColibriView.png,{85;33}_SiteColibriView2.png
4284,7,4886,16,12655,"514,000",{85;34}_SiteColibriView.png,{85;34}_SiteColibriView2.png
4285,3,3136,7,6681,"758,667",{85;35}_SiteColibriView.png,{85;35}_SiteColibriView2.png
4286,4,3187,7,7673,"697,000",{85;36}_SiteColibriView.png,{85;36}_SiteColibriView2.png
4287,7,4205,9,10947,"594,333",{85;37}_SiteColibriView.png,{85;37}_SiteColibriView2.png
4288,8,5562,15,14226,"495,667",{85;38}_SiteColibriView.png,{85;38}_SiteColibriView2.png
4289,4,3586,7,8929,"632,667",{85;39}_SiteColibriView.png,{85;39}_SiteColibriView2.png
4290,7,5588,12,14026,"514,000",{85;40}_SiteColibriView.png,{85;40}_SiteColibriView2.png
4291,9,5353,14,13722,"495,667",{85;41}_SiteColibriView.png,{85;41}_SiteColibriView2.png
4292,3,3300,7,7638,"726,667",{85;42}_SiteColibriView.png,{85;42}_SiteColibriView2.png
4293,9,5952,16,15262,"462,333",{85;43}_SiteColibriView.png,{85;43}_SiteColibriView2.png
4294,9,6105,16,15497,"456,000",{85;44}_SiteColibriView.png,{85;44}_SiteColibriView2.png
4295,7,5859,12,15105,"495,667",{85;45}_SiteColibriView.png,{85;45}_SiteColibriView2.png
4296,9,4799,13,11877,"530,000",{85;46}_SiteColibriView.png,{85;46}_SiteColibriView2.png
4297,9,4947,13,12762,"522,000",{85;47}_SiteColibriView.png,{85;47}_SiteColibriView2.png
4298,5,4329,9,11190,"610,333",{85;48}_SiteColibriView.png,{85;48}_SiteColibriView2.png
4299,8,5607,12,14279,"492,000",{85;49}_SiteColibriView.png,{85;49}_SiteColibriView2.png
4300,8,6411,16,16574,"459,000",{86;0}_SiteColibriView.png,{86;0}_SiteColibriView2.png
4301,9,6622,16,16250,"453,000",{86;1}_SiteColibriView.png,{86;1}_SiteColibriView2.png
4302,9,6105,16,15497,"456,000",{86;2}_SiteColibriView.png,{86;2}_SiteColibriView2.png
4303,8,5267,18,13717,"499,333",{86;3}_SiteColibriView.png,{86;3}_SiteColibriView2.png
4304,6,2978,9,6624,"793,667",{86;4}_SiteColibriView.png,{86;4}_SiteColibriView2.png
4305,6,3531,7,8372,"676,333",{86;5}_SiteColibriView.png,{86;5}_SiteColibriView2.png
4306,3,3300,7,7638,"726,667",{86;6}_SiteColibriView.png,{86;6}_SiteColibriView2.png
4307,8,4858,18,12653,"522,000",{86;7}_SiteColibriView.png,{86;7}_SiteColibriView2.png
4308,8,5067,16,13043,"506,667",{86;8}_SiteColibriView.png,{86;8}_SiteColibriView2.png
4309,5,4259,8,9772,"615,667",{86;9}_SiteColibriView.png,{86;9}_SiteColibriView2.png
4310,6,4023,9,10385,"615,667",{86;10}_SiteColibriView.png,{86;10}_SiteColibriView2.png
4311,4,3193,7,6844,"734,333",{86;11}_SiteColibriView.png,{86;11}_SiteColibriView2.png
4312,7,5164,15,13394,"518,000",{86;12}_SiteColibriView.png,{86;12}_SiteColibriView2.png
4313,5,3554,12,8502,"632,667",{86;13}_SiteColibriView.png,{86;13}_SiteColibriView2.png
4314,4,3611,7,8091,"669,667",{86;14}_SiteColibriView.png,{86;14}_SiteColibriView2.png
4315,7,4205,9,10947,"594,333",{86;15}_SiteColibriView.png,{86;15}_SiteColibriView2.png
4316,9,5909,16,15219,"465,333",{86;16}_SiteColibriView.png,{86;16}_SiteColibriView2.png
4317,3,3633,7,8223,"704,333",{86;17}_SiteColibriView.png,{86;17}_SiteColibriView2.png
4318,7,5859,12,15105,"495,667",{86;18}_SiteColibriView.png,{86;18}_SiteColibriView2.png
4319,6,3895,10,9588,"599,667",{86;19}_SiteColibriView.png,{86;19}_SiteColibriView2.png
4320,7,4558,11,11163,"574,333",{86;20}_SiteColibriView.png,{86;20}_SiteColibriView2.png
4321,9,4830,14,12324,"518,000",{86;21}_SiteColibriView.png,{86;21}_SiteColibriView2.png
4322,8,6260,13,16129,"475,000",{86;22}_SiteColibriView.png,{86;22}_SiteColibriView2.png
4323,6,3247,7,7285,"711,333",{86;23}_SiteColibriView.png,{86;23}_SiteColibriView2.png
4324,7,4917,11,11591,"569,667",{86;24}_SiteColibriView.png,{86;24}_SiteColibriView2.png
4325,6,3096,7,6732,"767,333",{86;25}_SiteColibriView.png,{86;25}_SiteColibriView2.png
4326,5,3403,10,8186,"644,667",{86;26}_SiteColibriView.png,{86;26}_SiteColibriView2.png
4327,8,5472,12,13872,"492,000",{86;27}_SiteColibriView.png,{86;27}_SiteColibriView2.png
4328,6,5473,10,13141,"555,667",{86;28}_SiteColibriView.png,{86;28}_SiteColibriView2.png
4329,8,5740,16,14795,"478,333",{86;29}_SiteColibriView.png,{86;29}_SiteColibriView2.png
4330,5,3232,8,7125,"704,333",{86;30}_SiteColibriView.png,{86;30}_SiteColibriView2.png
4331,9,4935,13,12799,"522,000",{86;31}_SiteColibriView.png,{86;31}_SiteColibriView2.png
4332,3,3136,7,6681,"758,667",{86;32}_SiteColibriView.png,{86;32}_SiteColibriView2.png
4333,9,5353,14,13722,"495,667",{86;33}_SiteColibriView.png,{86;33}_SiteColibriView2.png
4334,3,3793,7,8452,"690,000",{86;34}_SiteColibriView.png,{86;34}_SiteColibriView2.png
4335,3,3388,7,8052,"719,000",{86;35}_SiteColibriView.png,{86;35}_SiteColibriView2.png
4336,7,3984,12,10521,"584,333",{86;36}_SiteColibriView.png,{86;36}_SiteColibriView2.png
4337,7,5957,14,15647,"492,000",{86;37}_SiteColibriView.png,{86;37}_SiteColibriView2.png
4338,6,4079,10,10302,"579,333",{86;38}_SiteColibriView.png,{86;38}_SiteColibriView2.png
4339,7,4628,11,11962,"526,000",{86;39}_SiteColibriView.png,{86;39}_SiteColibriView2.png
4340,6,4382,9,10875,"579,333",{86;40}_SiteColibriView.png,{86;40}_SiteColibriView2.png
4341,9,4700,13,11606,"542,667",{86;41}_SiteColibriView.png,{86;41}_SiteColibriView2.png
4342,9,4680,14,11438,"542,667",{86;42}_SiteColibriView.png,{86;42}_SiteColibriView2.png
4343,3,3431,7,7683,"711,333",{86;43}_SiteColibriView.png,{86;43}_SiteColibriView2.png
4344,9,5849,16,14899,"468,333",{86;44}_SiteColibriView.png,{86;44}_SiteColibriView2.png
4345,5,3718,7,9340,"627,000",{86;45}_SiteColibriView.png,{86;45}_SiteColibriView2.png
4346,9,5370,14,13595,"506,667",{86;46}_SiteColibriView.png,{86;46}_SiteColibriView2.png
4347,5,3591,9,8518,"644,667",{86;47}_SiteColibriView.png,{86;47}_SiteColibriView2.png
4348,5,4228,9,10712,"621,333",{86;48}_SiteColibriView.png,{86;48}_SiteColibriView2.png
4349,9,4799,13,11877,"530,000",{86;49}_SiteColibriView.png,{86;49}_SiteColibriView2.png
4350,9,4935,13,12799,"522,000",{87;0}_SiteColibriView.png,{87;0}_SiteColibriView2.png
4351,4,3611,7,8091,"669,667",{87;1}_SiteColibriView.png,{87;1}_SiteColibriView2.png
4352,3,3633,7,8223,"704,333",{87;2}_SiteColibriView.png,{87;2}_SiteColibriView2.png
4353,8,4858,18,12653,"522,000",{87;3}_SiteColibriView.png,{87;3}_SiteColibriView2.png
4354,6,2978,9,6624,"793,667",{87;4}_SiteColibriView.png,{87;4}_SiteColibriView2.png
4355,8,6517,15,16688,"468,333",{87;5}_SiteColibriView.png,{87;5}_SiteColibriView2.png
4356,9,6622,16,16250,"453,000",{87;6}_SiteColibriView.png,{87;6}_SiteColibriView2.png
4357,8,5267,18,13717,"499,333",{87;7}_SiteColibriView.png,{87;7}_SiteColibriView2.png
4358,5,4258,8,9213,"627,000",{87;8}_SiteColibriView.png,{87;8}_SiteColibriView2.png
4359,6,3247,7,7285,"711,333",{87;9}_SiteColibriView.png,{87;9}_SiteColibriView2.png
4360,7,5164,15,13394,"518,000",{87;10}_SiteColibriView.png,{87;10}_SiteColibriView2.png
4361,4,3193,7,6844,"734,333",{87;11}_SiteColibriView.png,{87;11}_SiteColibriView2.png
4362,7,4628,11,11962,"526,000",{87;12}_SiteColibriView.png,{87;12}_SiteColibriView2.png
4363,5,4804,14,12177,"579,333",{87;13}_SiteColibriView.png,{87;13}_SiteColibriView2.png
4364,3,3793,7,8452,"690,000",{87;14}_SiteColibriView.png,{87;14}_SiteColibriView2.png
4365,8,6260,13,16129,"475,000",{87;15}_SiteColibriView.png,{87;15}_SiteColibriView2.png
4366,8,6061,13,15388,"485,000",{87;16}_SiteColibriView.png,{87;16}_SiteColibriView2.png
4367,9,5892,16,14417,"485,000",{87;17}_SiteColibriView.png,{87;17}_SiteColibriView2.png
4368,9,4599,13,11092,"551,333",{87;18}_SiteColibriView.png,{87;18}_SiteColibriView2.png
4369,5,3232,8,7125,"704,333",{87;19}_SiteColibriView.png,{87;19}_SiteColibriView2.png
4370,6,4079,10,10302,"579,333",{87;20}_SiteColibriView.png,{87;20}_SiteColibriView2.png
4371,9,6105,16,15497,"456,000",{87;21}_SiteColibriView.png,{87;21}_SiteColibriView2.png
4372,6,4079,10,10302,"579,333",{87;22}_SiteColibriView.png,{87;22}_SiteColibriView2.png
4373,5,3554,12,8502,"632,667",{87;23}_SiteColibriView.png,{87;23}_SiteColibriView2.png
4374,6,4405,11,11116,"569,667",{87;24}_SiteColibriView.png,{87;24}_SiteColibriView2.png
4375,7,4205,9,10947,"594,333",{87;25}_SiteColibriView.png,{87;25}_SiteColibriView2.png
4376,6,3096,7,6732,"767,333",{87;26}_SiteColibriView.png,{87;26}_SiteColibriView2.png
4377,9,4566,13,11455,"551,333",{87;27}_SiteColibriView.png,{87;27}_SiteColibriView2.png
4378,8,4995,12,12282,"522,000",{87;28}_SiteColibriView.png,{87;28}_SiteColibriView2.png
4379,9,5353,14,13722,"495,667",{87;29}_SiteColibriView.png,{87;29}_SiteColibriView2.png
4380,8,6411,16,16574,"459,000",{87;30}_SiteColibriView.png,{87;30}_SiteColibriView2.png
4381,7,5411,10,14215,"526,000",{87;31}_SiteColibriView.png,{87;31}_SiteColibriView2.png
4382,3,3136,7,6681,"758,667",{87;32}_SiteColibriView.png,{87;32}_SiteColibriView2.png
4383,6,4023,9,10385,"615,667",{87;33}_SiteColibriView.png,{87;33}_SiteColibriView2.png
4384,6,5473,10,13141,"555,667",{87;34}_SiteColibriView.png,{87;34}_SiteColibriView2.png
4385,3,3300,7,7638,"726,667",{87;35}_SiteColibriView.png,{87;35}_SiteColibriView2.png
4386,7,5957,14,15647,"492,000",{87;36}_SiteColibriView.png,{87;36}_SiteColibriView2.png
4387,8,5740,16,14795,"478,333",{87;37}_SiteColibriView.png,{87;37}_SiteColibriView2.png
4388,3,3388,7,8052,"719,000",{87;38}_SiteColibriView.png,{87;38}_SiteColibriView2.png
4389,6,3531,7,8372,"676,333",{87;39}_SiteColibriView.png,{87;39}_SiteColibriView2.png
4390,9,4799,13,11877,"530,000",{87;40}_SiteColibriView.png,{87;40}_SiteColibriView2.png
4391,5,4259,8,9772,"615,667",{87;41}_SiteColibriView.png,{87;41}_SiteColibriView2.png
4392,6,3895,10,9588,"599,667",{87;42}_SiteColibriView.png,{87;42}_SiteColibriView2.png
4393,7,3984,12,10521,"584,333",{87;43}_SiteColibriView.png,{87;43}_SiteColibriView2.png
4394,4,3694,7,8428,"650,667",{87;44}_SiteColibriView.png,{87;44}_SiteColibriView2.png
4395,5,3591,9,8518,"644,667",{87;45}_SiteColibriView.png,{87;45}_SiteColibriView2.png
4396,7,4474,11,10854,"569,667",{87;46}_SiteColibriView.png,{87;46}_SiteColibriView2.png
4397,3,3431,7,7683,"711,333",{87;47}_SiteColibriView.png,{87;47}_SiteColibriView2.png
4398,5,4336,9,11300,"610,333",{87;48}_SiteColibriView.png,{87;48}_SiteColibriView2.png
4399,9,5627,14,14514,"485,000",{87;49}_SiteColibriView.png,{87;49}_SiteColibriView2.png
4400,8,6517,15,16688,"468,333",{88;0}_SiteColibriView.png,{88;0}_SiteColibriView2.png
4401,6,2978,9,6624,"793,667",{88;1}_SiteColibriView.png,{88;1}_SiteColibriView2.png
4402,8,5267,18,13717,"499,333",{88;2}_SiteColibriView.png,{88;2}_SiteColibriView2.png
4403,9,6622,16,16250,"453,000",{88;3}_SiteColibriView.png,{88;3}_SiteColibriView2.png
4404,9,4799,13,11877,"530,000",{88;4}_SiteColibriView.png,{88;4}_SiteColibriView2.png
4405,3,3431,7,7683,"711,333",{88;5}_SiteColibriView.png,{88;5}_SiteColibriView2.png
4406,6,3519,7,8281,"683,000",{88;6}_SiteColibriView.png,{88;6}_SiteColibriView2.png
4407,6,5473,10,13141,"555,667",{88;7}_SiteColibriView.png,{88;7}_SiteColibriView2.png
4408,9,4935,13,12799,"522,000",{88;8}_SiteColibriView.png,{88;8}_SiteColibriView2.png
4409,5,4259,8,9772,"615,667",{88;9}_SiteColibriView.png,{88;9}_SiteColibriView2.png
4410,7,5164,15,13394,"518,000",{88;10}_SiteColibriView.png,{88;10}_SiteColibriView2.png
4411,8,4858,18,12653,"522,000",{88;11}_SiteColibriView.png,{88;11}_SiteColibriView2.png
4412,4,3728,7,8365,"657,000",{88;12}_SiteColibriView.png,{88;12}_SiteColibriView2.png
4413,4,3611,7,8091,"669,667",{88;13}_SiteColibriView.png,{88;13}_SiteColibriView2.png
4414,8,6411,16,16574,"459,000",{88;14}_SiteColibriView.png,{88;14}_SiteColibriView2.png
4415,9,6105,16,15497,"456,000",{88;15}_SiteColibriView.png,{88;15}_SiteColibriView2.png
4416,7,4628,11,11962,"526,000",{88;16}_SiteColibriView.png,{88;16}_SiteColibriView2.png
4417,6,4079,10,10302,"579,333",{88;17}_SiteColibriView.png,{88;17}_SiteColibriView2.png
4418,5,3554,12,8502,"632,667",{88;18}_SiteColibriView.png,{88;18}_SiteColibriView2.png
4419,8,6061,13,15388,"485,000",{88;19}_SiteColibriView.png,{88;19}_SiteColibriView2.png
4420,6,4696,11,12083,"542,667",{88;20}_SiteColibriView.png,{88;20}_SiteColibriView2.png
4421,7,3984,12,10521,"584,333",{88;21}_SiteColibriView.png,{88;21}_SiteColibriView2.png
4422,3,3633,7,8223,"704,333",{88;22}_SiteColibriView.png,{88;22}_SiteColibriView2.png
4423,8,5740,16,14795,"478,333",{88;23}_SiteColibriView.png,{88;23}_SiteColibriView2.png
4424,8,4995,12,12282,"522,000",{88;24}_SiteColibriView.png,{88;24}_SiteColibriView2.png
4425,8,6260,13,16129,"475,000",{88;25}_SiteColibriView.png,{88;25}_SiteColibriView2.png
4426,4,3048,7,6751,"734,333",{88;26}_SiteColibriView.png,{88;26}_SiteColibriView2.png
4427,4,3694,7,8428,"650,667",{88;27}_SiteColibriView.png,{88;27}_SiteColibriView2.png
4428,6,3850,9,9544,"621,333",{88;28}_SiteColibriView.png,{88;28}_SiteColibriView2.png
4429,5,4259,8,9772,"615,667",{88;29}_SiteColibriView.png,{88;29}_SiteColibriView2.png
4430,9,5353,14,13722,"495,667",{88;30}_SiteColibriView.png,{88;30}_SiteColibriView2.png
4431,7,5957,14,15647,"492,000",{88;31}_SiteColibriView.png,{88;31}_SiteColibriView2.png
4432,6,3096,7,6732,"767,333",{88;32}_SiteColibriView.png,{88;32}_SiteColibriView2.png
4433,3,3136,7,6681,"758,667",{88;33}_SiteColibriView.png,{88;33}_SiteColibriView2.png
4434,8,4995,12,12282,"522,000",{88;34}_SiteColibriView.png,{88;34}_SiteColibriView2.png
4435,7,4394,14,11128,"569,667",{88;35}_SiteColibriView.png,{88;35}_SiteColibriView2.png
4436,9,5627,14,14514,"485,000",{88;36}_SiteColibriView.png,{88;36}_SiteColibriView2.png
4437,6,4405,11,11116,"569,667",{88;37}_SiteColibriView.png,{88;37}_SiteColibriView2.png
4438,3,3300,7,7638,"726,667",{88;38}_SiteColibriView.png,{88;38}_SiteColibriView2.png
4439,6,4079,10,10302,"579,333",{88;39}_SiteColibriView.png,{88;39}_SiteColibriView2.png
4440,5,3591,9,8518,"644,667",{88;40}_SiteColibriView.png,{88;40}_SiteColibriView2.png
4441,6,3895,10,9588,"599,667",{88;41}_SiteColibriView.png,{88;41}_SiteColibriView2.png
4442,9,4566,13,11455,"551,333",{88;42}_SiteColibriView.png,{88;42}_SiteColibriView2.png
4443,7,5397,10,13774,"534,333",{88;43}_SiteColibriView.png,{88;43}_SiteColibriView2.png
4444,5,4258,8,9213,"627,000",{88;44}_SiteColibriView.png,{88;44}_SiteColibriView2.png
4445,7,5411,10,14215,"526,000",{88;45}_SiteColibriView.png,{88;45}_SiteColibriView2.png
4446,5,3585,12,8539,"627,000",{88;46}_SiteColibriView.png,{88;46}_SiteColibriView2.png
4447,3,3388,7,8052,"719,000",{88;47}_SiteColibriView.png,{88;47}_SiteColibriView2.png
4448,7,4205,9,10947,"594,333",{88;48}_SiteColibriView.png,{88;48}_SiteColibriView2.png
4449,9,5892,16,14417,"485,000",{88;49}_SiteColibriView.png,{88;49}_SiteColibriView2.png
