in:Index,out:Result,out:EveningAverageSunhoursLoss,out:MaxSunhoursLoss,out:AverageSunhoursLoss,out:Volume,img
1330,1.75,0.133103,12,0.321376,196656.833825,{26;30}_OptimizationIsoViewSW.png
1331,1.5,0.117348,9,0.283705,175623.463295,{26;31}_OptimizationIsoViewSW.png
1332,1.75,0.126435,12,0.314202,191791.331032,{26;32}_OptimizationIsoViewSW.png
1333,1.25,0.10916,9,0.252504,157753.588894,{26;33}_OptimizationIsoViewSW.png
1334,2.25,0.15561,15,0.383159,212856.534696,{26;34}_OptimizationIsoViewSW.png
1335,1.75,0.122806,12,0.273661,169118.89058,{26;35}_OptimizationIsoViewSW.png
1336,2,0.148323,12,0.336175,201531.640468,{26;36}_OptimizationIsoViewSW.png
1337,2,0.137126,11,0.325653,190150.218673,{26;37}_OptimizationIsoViewSW.png
1338,1.5,0.106516,9,0.233626,151308.821304,{26;38}_OptimizationIsoViewSW.png
1339,1.75,0.124578,9,0.299263,183755.972069,{26;39}_OptimizationIsoViewSW.png
1340,2,0.111496,14,0.258356,161030.595813,{26;40}_OptimizationIsoViewSW.png
1341,1.5,0.133356,11,0.306156,177210.703526,{26;41}_OptimizationIsoViewSW.png
1342,2,0.160843,14,0.408058,216169.47687,{26;42}_OptimizationIsoViewSW.png
1343,2,0.121765,11,0.254136,159413.358839,{26;43}_OptimizationIsoViewSW.png
1344,2.25,0.123424,14,0.291329,178826.895565,{26;44}_OptimizationIsoViewSW.png
1345,1.75,0.106825,11,0.250169,152905.198777,{26;45}_OptimizationIsoViewSW.png
1346,2.25,0.182028,16,0.445786,227376.080036,{26;46}_OptimizationIsoViewSW.png
1347,2,0.126857,11,0.315637,186950.831931,{26;47}_OptimizationIsoViewSW.png
1348,2.25,0.160843,17,0.373396,211237.853823,{26;48}_OptimizationIsoViewSW.png
1349,2.25,0.168242,18,0.433913,222518.914108,{26;49}_OptimizationIsoViewSW.png
1350,2.75,0.174685,18,0.444829,235571.260306,{27;0}_OptimizationIsoViewSW.png
1351,1.5,0.106516,9,0.233626,151308.821304,{27;1}_OptimizationIsoViewSW.png
1352,2,0.174966,14,0.47361,220896.841175,{27;2}_OptimizationIsoViewSW.png
1353,1.25,0.10916,9,0.252504,157753.588894,{27;3}_OptimizationIsoViewSW.png
1354,3,0.199809,16,0.465986,229095.074456,{27;4}_OptimizationIsoViewSW.png
1355,1.75,0.102521,11,0.24699,148082.333778,{27;5}_OptimizationIsoViewSW.png
1356,1.25,0.122187,10,0.287081,173973.556019,{27;6}_OptimizationIsoViewSW.png
1357,3,0.199809,16,0.465986,229095.074456,{27;7}_OptimizationIsoViewSW.png
1358,2.75,0.182112,18,0.472541,238777.459408,{27;8}_OptimizationIsoViewSW.png
1359,2.75,0.174094,17,0.448486,227376.080036,{27;9}_OptimizationIsoViewSW.png
1360,2.75,0.184476,17,0.469615,235571.260306,{27;10}_OptimizationIsoViewSW.png
1361,1.5,0.156651,10,0.404907,204750.20475,{27;11}_OptimizationIsoViewSW.png
1362,1.75,0.126435,12,0.314202,191791.331032,{27;12}_OptimizationIsoViewSW.png
1363,2.25,0.177723,18,0.463341,225835.591689,{27;13}_OptimizationIsoViewSW.png
1364,2,0.148323,12,0.336175,201531.640468,{27;14}_OptimizationIsoViewSW.png
1365,2.5,0.169311,14,0.401587,207943.439384,{27;15}_OptimizationIsoViewSW.png
1366,2.75,0.165232,16,0.422547,224164.985429,{27;16}_OptimizationIsoViewSW.png
1367,2.25,0.15561,15,0.383159,212856.534696,{27;17}_OptimizationIsoViewSW.png
1368,1.75,0.122806,12,0.273661,169118.89058,{27;18}_OptimizationIsoViewSW.png
1369,2.25,0.168242,18,0.433913,222518.914108,{27;19}_OptimizationIsoViewSW.png
1370,2.25,0.118107,13,0.271298,167504.187605,{27;20}_OptimizationIsoViewSW.png
1371,2,0.111496,14,0.258356,161030.595813,{27;21}_OptimizationIsoViewSW.png
1372,2.5,0.177104,14,0.415963,222518.914108,{27;22}_OptimizationIsoViewSW.png
1373,2.25,0.116532,13,0.261873,165920.026547,{27;23}_OptimizationIsoViewSW.png
1374,2,0.160843,14,0.408058,216169.47687,{27;24}_OptimizationIsoViewSW.png
1375,2.25,0.182028,16,0.445786,227376.080036,{27;25}_OptimizationIsoViewSW.png
